run_date,city,channel,metric,D1,L7D,LL7D,MTD,LMTD,LM
2026-04-14,Surat,ATM,LEAD,5,62,58,120,113,330
2026-04-14,Chennai,ATM,LEAD,11,64,30,94,52,139
2026-04-14,Jaipur,ATM,LEAD,21,127,110,237,320,681
2026-04-14,Kolkata,ATM,LEAD,2,41,38,79,115,240
2026-04-14,Hyderabad,ATM,LEAD,20,85,60,145,89,255
2026-04-14,Coimbatore,ATM,LEAD,0,15,19,34,21,69
2026-04-14,Lucknow,ATM,LEAD,48,607,471,1078,858,2630
2026-04-14,Pune,ATM,LEAD,19,195,158,353,300,646
2026-04-14,Kochi,ATM,LEAD,6,12,8,20,8,30
2026-04-14,Bangalore,ATM,LEAD,14,50,66,116,148,368
2026-04-14,Others,ATM,LEAD,8,56,62,118,188,392
2026-04-14,Delhi NCR,ATM,LEAD,104,1036,717,1753,2053,4485
2026-04-14,Patna,ATM,LEAD,26,222,120,342,255,662
2026-04-14,Indore,ATM,LEAD,12,103,72,175,317,599
2026-04-14,Mumbai,ATM,LEAD,23,108,115,223,156,402
2026-04-14,Chandigarh,ATM,LEAD,5,68,52,120,205,422
2026-04-14,Ahmedabad,ATM,LEAD,60,467,392,859,1073,2630
2026-04-14,Lucknow,ATM,BC,71,803,587,1390,696,2280
2026-04-14,Coimbatore,ATM,BC,3,23,18,41,26,73
2026-04-14,Chennai,ATM,BC,13,102,61,163,104,225
2026-04-14,Hyderabad,ATM,BC,20,129,97,226,135,309
2026-04-14,Delhi NCR,ATM,BC,135,1416,967,2383,1863,4458
2026-04-14,Indore,ATM,BC,15,156,117,273,244,532
2026-04-14,Chandigarh,ATM,BC,17,119,79,198,159,369
2026-04-14,Others,ATM,BC,9,85,95,180,189,386
2026-04-14,Ahmedabad,ATM,BC,87,643,510,1153,852,2139
2026-04-14,Patna,ATM,BC,31,202,127,329,213,532
2026-04-14,Mumbai,ATM,BC,22,187,136,323,168,476
2026-04-14,Surat,ATM,BC,6,85,85,170,115,311
2026-04-14,Jaipur,ATM,BC,27,168,148,316,235,567
2026-04-14,Bangalore,ATM,BC,20,151,136,287,233,552
2026-04-14,Kochi,ATM,BC,4,23,10,33,20,42
2026-04-14,Pune,ATM,BC,43,303,190,493,311,756
2026-04-14,Kolkata,ATM,BC,4,58,39,97,79,204
2026-04-14,Hyderabad,ATM,VISIT,9,18,14,32,25,48
2026-04-14,Indore,ATM,VISIT,1,13,18,31,42,84
2026-04-14,Jaipur,ATM,VISIT,0,10,17,27,21,67
2026-04-14,Bangalore,ATM,VISIT,2,33,28,61,51,115
2026-04-14,Delhi NCR,ATM,VISIT,21,159,95,254,228,556
2026-04-14,Chandigarh,ATM,VISIT,2,21,5,26,36,58
2026-04-14,Patna,ATM,VISIT,3,15,6,21,10,42
2026-04-14,Lucknow,ATM,VISIT,6,90,58,148,65,214
2026-04-14,Kochi,ATM,VISIT,0,2,0,2,5,7
2026-04-14,Kolkata,ATM,VISIT,0,6,1,7,7,16
2026-04-14,Chennai,ATM,VISIT,0,42,13,55,30,57
2026-04-14,Pune,ATM,VISIT,6,54,21,75,45,108
2026-04-14,Surat,ATM,VISIT,0,7,9,16,22,63
2026-04-14,Ahmedabad,ATM,VISIT,8,73,58,131,105,239
2026-04-14,Mumbai,ATM,VISIT,0,27,12,39,38,92
2026-04-14,Coimbatore,ATM,VISIT,0,3,4,7,5,25
2026-04-14,Others,ATM,VISIT,1,11,10,21,54,89
2026-04-14,Ahmedabad,GMB,LEAD,27,244,235,479,534,1390
2026-04-14,Indore,GMB,LEAD,28,215,234,449,559,1349
2026-04-14,Bangalore,GMB,LEAD,46,413,532,945,888,2225
2026-04-14,Pune,GMB,LEAD,27,314,301,615,572,1252
2026-04-14,Lucknow,GMB,LEAD,34,295,274,569,454,1269
2026-04-14,Chennai,GMB,LEAD,14,149,227,376,435,1020
2026-04-14,Others,GMB,LEAD,5,65,68,133,168,372
2026-04-14,Delhi NCR,GMB,LEAD,107,1427,1732,3159,2693,6808
2026-04-14,Chandigarh,GMB,LEAD,25,315,350,665,879,1979
2026-04-14,Hyderabad,GMB,LEAD,20,286,380,666,808,1820
2026-04-14,Surat,GMB,LEAD,5,80,98,178,181,431
2026-04-14,Mumbai,GMB,LEAD,33,379,483,862,599,1394
2026-04-14,Kochi,GMB,LEAD,10,72,84,156,200,422
2026-04-14,Coimbatore,GMB,LEAD,12,80,125,205,175,422
2026-04-14,Kolkata,GMB,LEAD,13,147,182,329,173,429
2026-04-14,Jaipur,GMB,LEAD,9,109,118,227,201,564
2026-04-14,Patna,GMB,LEAD,29,249,282,531,530,1361
2026-04-14,Indore,Classified,LEAD,16,431,554,985,968,2373
2026-04-14,Lucknow,Classified,LEAD,21,791,834,1625,1586,3798
2026-04-14,Chennai,Classified,LEAD,21,781,828,1609,1596,3913
2026-04-14,Delhi NCR,Classified,LEAD,112,3965,4208,8173,7519,17453
2026-04-14,Bangalore,Classified,LEAD,53,1638,1758,3396,3256,7583
2026-04-14,Kochi,Classified,LEAD,7,371,336,707,731,1662
2026-04-14,Ahmedabad,Classified,LEAD,22,1034,1080,2114,2047,4538
2026-04-14,Chandigarh,Classified,LEAD,9,295,290,585,317,1006
2026-04-14,Mumbai,Classified,LEAD,36,1053,1120,2173,1892,4443
2026-04-14,Hyderabad,Classified,LEAD,47,1569,1444,3013,2723,6497
2026-04-14,Kolkata,Classified,LEAD,20,462,506,968,890,1990
2026-04-14,Surat,Classified,LEAD,2,348,396,744,735,1528
2026-04-14,Coimbatore,Classified,LEAD,0,239,264,503,450,1028
2026-04-14,Others,Classified,LEAD,92,3622,1783,5405,2077,4869
2026-04-14,Jaipur,Classified,LEAD,11,491,580,1071,1225,2712
2026-04-14,Pune,Classified,LEAD,28,1246,1249,2495,2322,5279
2026-04-14,Patna,Classified,LEAD,8,396,391,787,672,1605
2026-04-14,Chennai,Classified,BC,0,210,246,427,369,858
2026-04-14,Hyderabad,Classified,BC,0,375,389,721,727,1506
2026-04-14,Ahmedabad,Classified,BC,0,296,262,541,422,979
2026-04-14,Coimbatore,Classified,BC,0,68,81,147,89,221
2026-04-14,Jaipur,Classified,BC,0,144,162,297,238,583
2026-04-14,Bangalore,Classified,BC,0,417,486,854,857,1815
2026-04-14,Indore,Classified,BC,0,162,163,313,235,522
2026-04-14,Kochi,Classified,BC,0,141,85,224,160,390
